trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dSatXUVFrac star/dSatXUVTime star/dXUVBeta vpl/dStopTime 
rand_000 -1.646820 -1.120086 0.007817 -1.628891 0.193954 0.001615 664375679.424664 1.270935 8103436634.397578 
rand_001 -1.649526 -1.151998 0.007389 -1.628958 0.193051 0.001663 749556574.188654 1.353347 8981796134.212040 
rand_002 -1.674908 -1.112873 0.003597 -1.628956 0.197118 0.002425 526336134.947985 1.417827 7587641402.965085 
rand_003 -1.648290 -1.138192 0.003333 -1.628918 0.197535 0.000531 1929038307.687069 1.474692 6751567566.913087 
rand_004 -1.669868 -1.133583 0.004738 -1.628870 0.199226 0.001176 1053758499.889366 1.395900 8230986484.630186 
rand_005 -1.649204 -1.150319 0.007587 -1.628930 0.190546 0.000418 1660048503.189996 1.456864 7705581080.908663 
rand_006 -1.662342 -1.117371 0.007356 -1.628903 0.197664 0.001532 428175478.743205 1.099620 6508052660.739748 
rand_007 -1.637763 -1.132977 0.005708 -1.628958 0.199162 0.000694 1329074681.685461 1.414284 9116226935.980326 
rand_008 -1.660731 -1.116525 0.002982 -1.628921 0.195537 0.000719 1207758929.973935 1.419485 6960589622.794258 
rand_009 -1.613129 -1.141020 0.010682 -1.628941 0.199053 0.003897 212709603.765264 1.093853 7078416671.321638 
rand_010 -1.666338 -1.143308 0.004568 -1.628881 0.194191 0.000604 2031418092.065183 1.881459 6850742965.741360 
rand_011 -1.672295 -1.144929 0.001341 -1.628888 0.192334 0.001063 1029814891.971550 1.456110 8256857735.050590 
rand_012 -1.652039 -1.122079 0.004821 -1.628869 0.196442 0.001042 701275628.957999 1.336242 9967408889.891382 
rand_013 -1.635209 -1.143607 0.003093 -1.628950 0.190240 0.000423 1513254854.541552 1.080269 6559493785.739315 
rand_014 -1.635388 -1.134062 0.002395 -1.628930 0.196447 0.001175 1312754886.676138 1.416219 7905999644.556375 
rand_015 -1.656164 -1.140369 0.000294 -1.628921 0.188088 0.001041 905503582.871171 1.525960 6942599917.930435 
rand_016 -1.652201 -1.121198 0.008444 -1.628949 0.191933 0.000699 1117644127.820374 1.178767 7229900622.888600 
rand_017 -1.652168 -1.164706 0.002476 -1.628927 0.197900 0.001376 940904549.184794 1.489668 7863886822.643904 
rand_018 -1.684791 -1.125059 0.006738 -1.628906 0.195566 0.000844 1624386275.472464 1.495248 7177714637.829921 
rand_019 -1.636446 -1.095373 0.000636 -1.628946 0.194202 0.001235 461842119.282124 1.357972 7411047383.857962 
rand_020 -1.688931 -1.105279 0.000995 -1.628950 0.193983 0.001311 1005902065.813177 1.503976 8106704857.157361 
rand_021 -1.684748 -1.142333 0.003556 -1.628952 0.194214 0.002427 1364410423.854745 1.853533 6758024529.810727 
rand_022 -1.658734 -1.120108 0.006237 -1.628967 0.189610 0.000775 949024989.964656 1.344084 5913096350.137219 
