star_name,prot_days,prot_err,prot_src,log_age_gyr,log_age_err,log_lx,log_lx_err,log_lx_lbol,log_lx_lbol_err,xray_src
1RXS J041330.7+251052,2.22,0.02,M20,-0.906,0.038,29.27,0.08,-2.86,0.10,M20
EPIC 201909533,2.29,0.02,M20,-0.901,0.038,29.29,0.33,-2.71,0.40,"R, M22"
1RXS J030708.3+323528,2.35,0.02,M20,-0.898,0.038,29.13,0.06,-3.03,0.07,M20
EPIC 210651981,2.44,0.02,M20,-0.892,0.038,28.82,0.05,-3.24,0.06,M20
1RXS J231233.3+391140,2.47,0.02,M20,-0.890,0.038,29.06,0.11,-3.12,0.13,M20
GSC 03517-00212,2.61,0.03,M20,-0.882,0.039,29.52,0.02,-2.92,0.02,M20
UCAC4 630-046962,2.69,0.03,M20,-0.877,0.039,28.98,0.03,-2.98,0.04,M20
CK Tri,2.73,0.03,M20,-0.874,0.039,29.45,0.01,-2.84,0.01,M20
LP 152-39,2.79,0.03,M20,-0.870,0.039,29.09,0.03,-3.27,0.04,M20
Pleiades/NGC 2516,,,,-0.870,0.120,29.19,0.28,-3.08,0.27,N16
DT Vir (GJ 494),2.89,0.03,1T,-0.864,0.039,29.48,0.55,-2.85,0.66,"R, X"
UCAC4 587-034710,3.05,0.03,M20,-0.854,0.039,29.24,0.09,-3.24,0.11,M22
UCAC4 681-049380,3.22,0.03,M20,-0.844,0.039,29.01,0.04,-3.12,0.05,M20
1RXS J085922.2+403351,3.25,0.03,M20,-0.842,0.039,29.29,0.25,-3.20,0.30,M20
OT Ser (GJ 9520),3.37,0.03,M20,-0.834,0.039,28.94,0.19,-3.31,0.24,"R, X"
HAT 169-07364,3.42,0.03,M20,-0.831,0.039,29.56,0.07,-2.91,0.08,M20
PM J23045+4014,3.56,0.04,M20,-0.823,0.039,29.02,0.05,-3.20,0.06,M20
EPIC 206349327,3.72,0.04,M20,-0.813,0.039,29.19,0.04,-3.21,0.05,M20
G 80-21,3.88,0.04,M20,-0.803,0.039,28.90,0.19,-3.19,0.23,M22
G 173-18,4.12,0.04,M20,-0.788,0.039,29.55,0.01,-2.81,0.01,M20
FK Aqr (GJ 867 A),4.23,0.04,M20,-0.781,0.039,29.34,0.30,-3.06,0.36,M20
2MASS J05071824+5307115,4.23,0.04,M20,-0.781,0.039,29.05,0.09,-3.26,0.11,M20
HAT 222-10112,4.77,0.05,M20,-0.747,0.040,29.39,0.06,-2.96,0.07,M20
