name,sptype,age_gyr,age_plus,age_minus,prot_days,prot_plus,prot_minus,age_via
Pleiades,M0--2V,0.125,0.05,0.05,2.11,2.96,1.50,Cluster
NGC 2516,M0--2V,0.15,0.02,0.02,1.80,2.93,1.30,Cluster
M34,M0--2V,0.22,0.02,0.02,6.82,3.99,3.99,Cluster
NGC 3532,M0--2V,0.30,0.05,0.05,10.96,5.47,5.47,Cluster
M37,M0--2V,0.52,0.06,0.06,13.15,5.24,5.24,Cluster
Praesepe / Hyades,M0--2V,0.73,0.12,0.12,16.06,2.91,12.2,Cluster
NGC 6811,M0--2V,0.89,0.15,0.15,14.19,1.45,1.45,Cluster
NGC 752,M0--2V,1.46,0.18,0.18,18.6,4.2,4.2,Cluster
L 266-195,M1V,2.50,1.82,0.93,23.19,1.84,1.84,WD comp (L 266-196)
LP 856-54,M1--1.5V,2.52,1.58,0.61,23.27,0.04,0.04,WD comp (LP 856-53)
Ruprecht 147,M0--2V,2.6,0.4,0.4,22.4,2.9,2.9,Cluster (Prot err sign typo in TeX: [2.9 -2.9])
G 59-39,M0V,3.20,1.96,0.93,33.82,0.07,0.07,WD comp (EGGR 92)
LP 775-52,M0--1V,3.39,0.29,0.20,36.90,0.10,0.10,WD comp (LP 775-53)
GJ 2131 A,M1V,3.47,1.69,1.69,34.82,0.10,0.10,WD comp (GJ 2131 B)
G 111-72,M1.5--2V,3.64,1.35,0.68,38.96,0.13,0.13,WD comp (G 111-71)
HIP 43232 B,M1.5V,3.95,0.35,0.35,41.3,4.1,4.1,MS comp (HIP 43232 A)
M67,M0--2V,4.0,1.0,0.5,31.8,3.3,3.3,Cluster (EXCLUDED from paper fits: gyro-based age)
LP 587-54,M1.5--2V,6.34,1.49,1.38,59.5,1.4,1.4,WD comp (LP 587-53)
GJ 366,M1.5V,9.5,1.5,1.5,87.1,1.2,1.2,Thick Disk/Halo Population
GJ 328,M0V,9.5,1.5,1.5,80.5,0.6,0.6,Thick Disk/Halo Population
GJ 821,M1V,9.5,1.5,1.5,86.2,1.1,1.1,Thick Disk/Halo Population
LP 552-48,M0V,9.88,1.78,2.06,83.2,0.8,0.8,WD comp (LP 552-49)
LHS 343,sdK7,11.5,1.0,1.5,89.2,1.7,1.7,Halo Population (subdwarf; paper includes in early fits)
LHS 173,esdK7,11.5,1.0,1.5,85.3,3.4,3.4,Halo Population (subdwarf; paper includes in early fits)
LHS 174,sdM0,11.5,1.0,1.5,90.4,1.5,1.5,Halo Population (subdwarf; paper includes in early fits)
