trial star/dXUVEngleMidLateA star/dXUVEngleMidLateB star/dXUVEngleMidLateC star/dXUVEngleMidLateD 
rand_000 -0.278188 -3.250071 -1.324957 0.372816 
rand_001 -0.037884 -2.751695 -1.755810 0.200349 
rand_002 -0.282055 -3.019495 -1.862493 0.275946 
rand_003 -0.188268 -3.110083 -1.261039 0.335758 
rand_004 -0.095063 -3.067175 -1.262981 0.199011 
rand_005 -0.310400 -2.835546 -1.894205 0.382675 
rand_006 -0.255423 -2.618598 -1.953872 0.322658 
rand_007 -0.148967 -2.826236 -1.445500 0.206233 
rand_008 -0.125631 -2.614267 -1.629419 0.310374 
rand_009 -0.121525 -2.428716 -2.421495 0.324753 
rand_010 -0.244513 -2.643033 -1.381706 0.299178 
rand_011 -0.152502 -2.204915 -1.390179 0.218773 
rand_012 -0.020601 -2.625342 -1.762956 0.294792 
rand_013 -0.250401 -2.238991 -1.867812 0.396926 
rand_014 -0.203420 -2.890770 -1.368716 0.248190 
rand_015 -0.202858 -2.750305 -1.011588 0.224559 
rand_016 -0.113317 -2.459464 -1.844821 0.311413 
rand_017 -0.133921 -2.700727 -2.218167 0.341596 
rand_018 -0.103180 -2.865562 -1.337027 0.200485 
rand_019 -0.103171 -2.584292 -1.920599 0.313712 
rand_020 -0.140442 -2.962459 -1.844733 0.321370 
rand_021 -0.239368 -2.552218 -1.702965 0.283453 
rand_022 -0.193638 -3.360540 -1.504548 0.274272 
rand_023 -0.117196 -2.769393 -2.295094 0.375213 
rand_024 -0.089828 -2.267392 -1.389087 0.103381 
rand_025 -0.216889 -2.653865 -1.959129 0.362604 
rand_026 -0.163579 -3.132888 -1.512485 0.229587 
rand_027 0.027438 -2.775524 -1.312573 0.080513 
rand_028 -0.091506 -3.129836 -1.575712 0.270639 
rand_029 -0.141822 -2.946162 -2.344463 0.381217 
rand_030 -0.152304 -3.181920 -1.421525 0.242235 
rand_031 -0.121428 -2.825162 -1.723549 0.231354 
rand_032 -0.180743 -2.754832 -1.573428 0.195179 
rand_033 -0.058107 -3.021585 -1.505690 0.236070 
rand_034 -0.123434 -2.871864 -1.397103 0.335659 
rand_035 -0.179927 -2.499831 -1.641457 0.361509 
rand_036 -0.199226 -3.527113 -1.423603 0.399246 
rand_037 -0.183882 -2.379906 -2.198504 0.347102 
rand_038 -0.144609 -2.330497 -1.669721 0.270912 
rand_039 -0.233269 -2.799437 -1.394635 0.304026 
rand_040 -0.236085 -2.335912 -1.789098 0.249783 
rand_041 -0.141965 -3.144804 -1.493632 0.248027 
rand_042 -0.169947 -2.876532 -1.224080 0.316334 
rand_043 -0.164985 -3.043352 -1.467893 0.246186 
rand_044 -0.174851 -2.144669 -1.000202 0.081216 
rand_045 -0.184654 -2.799125 -1.892722 0.339645 
rand_046 -0.202418 -2.531016 -1.762582 0.333826 
rand_047 -0.039186 -2.467702 -1.861239 0.221663 
rand_048 -0.055265 -2.653611 -1.694091 0.211915 
rand_049 -0.124265 -3.191032 -2.040606 0.340634 
rand_050 -0.218721 -2.614882 -1.387709 0.362091 
rand_051 -0.110910 -2.668882 -1.321149 0.223262 
rand_052 -0.132646 -2.777448 -0.937845 0.233396 
rand_053 -0.194988 -2.939180 -1.468060 0.258114 
rand_054 -0.315243 -3.122503 -1.687797 0.445195 
rand_055 -0.093124 -3.273481 -1.711768 0.276954 
rand_056 -0.221896 -2.611251 -1.777163 0.313203 
rand_057 -0.205897 -2.826393 -1.870339 0.290663 
rand_058 -0.134584 -2.611425 -1.706061 0.284416 
rand_059 -0.271874 -2.825882 -1.590056 0.271466 
rand_060 -0.135425 -2.848684 -1.700700 0.290341 
rand_061 -0.104589 -3.089366 -1.506157 0.261703 
rand_062 -0.098674 -2.773628 -1.247371 0.246651 
rand_063 -0.158215 -2.467498 -2.263380 0.298815 
rand_064 -0.158408 -2.774444 -1.920944 0.368850 
rand_065 -0.179403 -2.806960 -1.616770 0.331634 
rand_066 -0.133650 -2.555096 -1.683014 0.177404 
rand_067 -0.196361 -2.596882 -1.668545 0.186907 
rand_068 -0.111078 -2.731675 -2.026705 0.326855 
rand_069 -0.124360 -2.867738 -2.056098 0.336852 
rand_070 -0.106273 -2.742709 -1.894046 0.334190 
rand_071 -0.134339 -2.631327 -1.972705 0.288960 
rand_072 0.013571 -2.514809 -1.648506 0.169452 
rand_073 -0.186189 -2.941934 -1.782681 0.315954 
rand_074 -0.048782 -2.492834 -2.100421 0.303661 
rand_075 -0.191004 -2.896004 -1.244585 0.300625 
rand_076 -0.216044 -2.746265 -1.467035 0.317585 
rand_077 -0.185615 -2.533601 -1.253155 0.212796 
rand_078 -0.204721 -3.269484 -1.372764 0.349292 
rand_079 -0.161207 -2.633581 -1.112049 0.174856 
rand_080 -0.084502 -2.720880 -1.485875 0.188687 
