trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dAge vpl/dStopTime 
rand_000 -1.640798 -1.112325 0.004446 -1.628904 0.188619 3961036.977715 7120941265.306135 
rand_001 -1.656501 -1.139061 0.003092 -1.628963 0.200487 3822372.529120 7411638375.252595 
rand_002 -1.668522 -1.113924 0.002977 -1.628929 0.195120 3491777.655115 6573435850.239326 
rand_003 -1.650763 -1.181322 0.004796 -1.628923 0.193336 4327183.412882 7541495748.823254 
rand_004 -1.632297 -1.123524 0.001492 -1.628974 0.191650 4455363.017162 6955713000.161855 
rand_005 -1.673265 -1.154690 0.001330 -1.628944 0.198860 5124517.984985 7294261612.350091 
rand_006 -1.639489 -1.112410 0.007746 -1.628958 0.193468 4517629.119917 7191051910.701647 
rand_007 -1.642267 -1.151601 0.001838 -1.628948 0.201411 4413274.132657 7359494259.375035 
rand_008 -1.663289 -1.145737 0.005476 -1.628903 0.198428 5162031.100669 6882881531.400681 
rand_009 -1.688063 -1.157570 0.001447 -1.628905 0.200704 4782496.139511 7467190075.504626 
rand_010 -1.678268 -1.152291 0.001363 -1.628936 0.193532 6175045.199156 7165547481.626184 
rand_011 -1.622113 -1.130784 0.005357 -1.628890 0.196920 6160629.926783 7534505578.872099 
rand_012 -1.624698 -1.137358 0.006058 -1.628937 0.195477 4409547.574205 7643694641.929532 
rand_013 -1.651233 -1.144654 0.001878 -1.628960 0.193178 3699219.552021 7035090658.157002 
rand_014 -1.603477 -1.161628 0.008853 -1.628914 0.189606 4716496.486685 7421616149.022846 
rand_015 -1.658136 -1.144832 0.000157 -1.628919 0.204938 4714591.138578 6751664166.419579 
rand_016 -1.688176 -1.108763 0.008337 -1.628935 0.191991 7061080.527340 6408076466.948669 
rand_017 -1.692757 -1.127113 0.007910 -1.628937 0.197728 4948474.772991 6581520792.680155 
rand_018 -1.688618 -1.122413 0.004306 -1.628933 0.199700 4725484.265959 6412807242.116778 
rand_019 -1.649976 -1.102320 0.012704 -1.628917 0.191171 3002528.070235 6942456346.052786 
rand_020 -1.671092 -1.111962 0.003920 -1.628917 0.188201 5661800.505126 6629578874.545341 
rand_021 -1.673714 -1.105096 0.005114 -1.628913 0.196467 4758048.121209 7829790719.229871 
rand_022 -1.660228 -1.126336 0.010852 -1.628938 0.192414 5900885.222569 7113348803.970876 
rand_023 -1.618066 -1.141806 0.010607 -1.628936 0.190856 6464196.081880 6836465801.393690 
rand_024 -1.616586 -1.128066 0.002756 -1.628931 0.192002 4074807.262166 6637816863.978661 
rand_025 -1.652127 -1.127819 0.000629 -1.628953 0.196155 5918317.784429 7069023968.176624 
rand_026 -1.638788 -1.170209 0.003866 -1.628960 0.187481 5673048.791154 7098247385.885604 
rand_027 -1.640308 -1.136917 0.002022 -1.628899 0.193617 4536143.463570 7396137814.658208 
rand_028 -1.649592 -1.108526 0.005251 -1.628931 0.188912 3942836.276486 7138072491.825700 
rand_029 -1.685134 -1.169872 0.001459 -1.628954 0.201051 3959217.733951 6683606325.577190 
rand_030 -1.645947 -1.165061 0.008101 -1.628947 0.193834 4500481.852809 7105109291.738819 
rand_031 -1.671827 -1.150914 0.008815 -1.628945 0.200059 5077255.332298 7353460669.687848 
rand_032 -1.674956 -1.142508 0.004556 -1.628917 0.199148 6115852.646063 6871246022.665637 
rand_033 -1.647790 -1.134020 0.005572 -1.628894 0.194936 6215895.270953 6750643711.492486 
rand_034 -1.620171 -1.093065 0.000894 -1.628942 0.197674 4708894.232602 6796887518.095301 
rand_035 -1.650968 -1.115726 0.002079 -1.628983 0.197260 3540311.315178 7306123473.963567 
rand_036 -1.666020 -1.124934 0.002847 -1.628922 0.199282 4144035.825944 7321012539.968242 
rand_037 -1.665631 -1.133680 0.006641 -1.628971 0.194076 4743553.836546 7151668339.443062 
rand_038 -1.643767 -1.131861 0.008068 -1.628942 0.195727 4426059.058280 7692760941.750206 
rand_039 -1.664818 -1.112100 0.005042 -1.628890 0.189631 6374939.800872 6851710109.590719 
rand_040 -1.664401 -1.106088 0.009752 -1.628969 0.190519 4445735.402873 7167560862.658697 
rand_041 -1.673479 -1.144795 0.005225 -1.628949 0.197482 3019525.739007 6948042448.394280 
rand_042 -1.672766 -1.121671 0.002985 -1.628961 0.196864 6050509.270408 6699468096.593417 
rand_043 -1.634892 -1.126754 0.007828 -1.628969 0.190177 5661190.564984 6660324813.261228 
rand_044 -1.656421 -1.108406 0.004589 -1.628947 0.194735 4043788.104920 7218278276.990710 
rand_045 -1.672008 -1.101030 0.004971 -1.628938 0.188512 4897265.035181 6979398286.720274 
rand_046 -1.657869 -1.122822 0.002703 -1.628900 0.187692 4138567.305814 7598953280.765673 
rand_047 -1.647750 -1.133314 0.003526 -1.628945 0.195568 6820097.593188 6699129531.084401 
rand_048 -1.681454 -1.161579 0.001415 -1.628917 0.191378 3288989.278058 7247978876.304090 
rand_049 -1.650132 -1.152571 0.006191 -1.628885 0.195713 4004447.361665 6906555314.102349 
rand_050 -1.645758 -1.125697 0.004667 -1.628878 0.192433 4535450.756441 7724507421.770185 
rand_051 -1.619663 -1.106189 0.008905 -1.628947 0.191181 5470233.615963 6972306039.825683 
rand_052 -1.650114 -1.096117 0.002331 -1.628889 0.200352 6064553.133187 7100413270.999491 
rand_053 -1.692362 -1.173883 0.005039 -1.628916 0.197914 5938151.171469 7752693732.918202 
rand_054 -1.644806 -1.138871 0.007346 -1.628897 0.191746 5535377.315572 6921274874.486311 
