trial star/dSatXUVFrac star/dSatXUVTime star/dXUVBeta 
rand_000 0.001615 664375679.424664 1.270935 
rand_001 0.001663 749556574.188654 1.353347 
rand_002 0.002425 526336134.947985 1.417827 
rand_003 0.000531 1929038307.687069 1.474692 
rand_004 0.001176 1053758499.889366 1.395900 
rand_005 0.000418 1660048503.189996 1.456864 
rand_006 0.001532 428175478.743205 1.099620 
rand_007 0.000694 1329074681.685461 1.414284 
rand_008 0.000719 1207758929.973935 1.419485 
rand_009 0.003897 212709603.765264 1.093853 
rand_010 0.000604 2031418092.065183 1.881459 
rand_011 0.001063 1029814891.971550 1.456110 
rand_012 0.001042 701275628.957999 1.336242 
rand_013 0.000423 1513254854.541552 1.080269 
rand_014 0.001175 1312754886.676138 1.416219 
rand_015 0.001041 905503582.871171 1.525960 
rand_016 0.000699 1117644127.820374 1.178767 
rand_017 0.001376 940904549.184794 1.489668 
rand_018 0.000844 1624386275.472464 1.495248 
rand_019 0.001235 461842119.282124 1.357972 
rand_020 0.001311 1005902065.813177 1.503976 
rand_021 0.002427 1364410423.854745 1.853533 
rand_022 0.000775 949024989.964656 1.344084 
rand_023 0.000838 986612699.072910 1.354696 
rand_024 0.000465 772506143.657718 1.273491 
rand_025 0.001064 596556066.024979 1.297360 
rand_026 0.000335 2847955185.284208 1.553399 
rand_027 0.000569 165515700.665236 0.670472 
rand_028 0.001102 694738572.260275 1.221584 
rand_029 0.002070 623661171.849792 1.342862 
rand_030 0.001252 946640919.127803 1.434714 
rand_031 0.004274 198240745.214817 1.202341 
rand_032 0.000850 687632739.760368 1.176238 
rand_033 0.000688 1293196995.188706 1.566017 
rand_034 0.000275 1832260847.489300 1.021499 
rand_035 0.000700 353700102.166083 1.039675 
rand_036 0.001167 364139929.672313 1.082441 
rand_037 0.000194 4616588790.771757 1.327131 
rand_038 0.000270 2280570896.283019 1.464309 
rand_039 0.001112 797487897.732893 1.212998 
rand_040 0.000649 1764637639.039329 1.498153 
rand_041 0.001807 745952801.561200 1.550464 
rand_042 0.002100 1104137305.902101 1.650596 
rand_043 0.001800 831847526.945792 1.473825 
rand_044 0.001414 399214524.098426 1.002008 
rand_045 0.001228 921277659.045591 1.504801 
rand_046 0.000515 1394091680.891399 0.976236 
rand_047 0.000754 1210080536.738437 1.468947 
rand_048 0.001386 1023547394.864715 1.365815 
rand_049 0.000858 854157381.227311 0.863466 
rand_050 0.000630 1088131920.704361 1.659958 
rand_051 0.000516 1331931193.434823 1.262603 
rand_052 0.001202 726448842.205256 1.131030 
rand_053 0.000685 155188188.611269 0.691602 
rand_054 0.001285 881301980.500044 1.131658 
rand_055 0.000432 1561700370.852021 0.879243 
rand_056 0.001049 1069374007.193877 1.569584 
rand_057 0.000352 929307597.201544 0.982071 
rand_058 0.000886 427591735.550118 1.079522 
rand_059 0.000913 1199081819.463218 1.210098 
rand_060 0.000620 569898910.304484 0.677575 
rand_061 0.000529 1019405327.668165 1.039991 
rand_062 0.000957 917981461.672856 1.606632 
rand_063 0.000341 2533175211.017230 0.892800 
rand_064 0.001565 996030676.533861 1.661553 
rand_065 0.002366 609557373.576582 1.451945 
rand_066 0.001350 369049074.069870 1.216977 
rand_067 0.001335 563429392.659091 1.274382 
rand_068 0.001472 761894715.200619 1.343018 
rand_069 0.000812 826636574.885340 1.190033 
rand_070 0.000149 3080483671.803329 0.865684 
rand_071 0.000705 243234855.629984 0.701087 
rand_072 0.001248 397591047.480253 1.083803 
rand_073 0.000755 720045455.557688 1.026555 
rand_074 0.000586 817728383.714800 0.929941 
rand_075 0.000514 2097608554.206170 1.936186 
rand_076 0.001083 415179891.778040 0.999250 
rand_077 0.000826 342080060.520395 0.814963 
rand_078 0.001411 189413189.154074 0.897886 
rand_079 0.002209 1393753019.018704 1.668316 
rand_080 0.002067 1249047711.231565 1.887981 
rand_081 0.000229 2287926507.057950 1.418986 
rand_082 0.001085 535767009.886007 1.250907 
rand_083 0.000534 1314968614.046782 1.614914 
rand_084 0.001014 512272946.564084 1.115518 
rand_085 0.002204 996240131.570918 1.772642 
rand_086 0.001022 729627782.196281 1.370194 
rand_087 0.000717 1112067774.433228 1.224541 
rand_088 0.000882 731177918.928814 1.115254 
rand_089 0.001694 857168839.792618 1.412361 
rand_090 0.000894 391824979.882496 0.909423 
rand_091 0.001144 2411459869.923343 1.647866 
rand_092 0.000343 3018997495.960065 1.534940 
rand_093 0.001114 1433983653.041279 1.581922 
rand_094 0.000991 647032431.209290 1.141137 
rand_095 0.000558 921104552.781972 1.249910 
rand_096 0.000196 1083049246.180451 0.738699 
rand_097 0.000579 1243548116.239342 1.332853 
rand_098 0.000329 2731544702.278310 1.280259 
rand_099 0.000840 952567288.180291 1.291332 
rand_100 0.001712 267371022.424487 1.108834 
rand_101 0.001295 1168328158.160791 1.419765 
rand_102 0.001357 258486619.371368 1.184676 
rand_103 0.000531 923250872.590770 1.044765 
rand_104 0.000552 986346277.728102 1.286655 
rand_105 0.001515 997422941.444397 1.487006 
rand_106 0.000792 1624317243.408072 1.625311 
rand_107 0.000628 1046113585.349272 1.185173 
rand_108 0.000912 466337825.871419 1.143524 
rand_109 0.001368 1783148529.904339 2.006253 
rand_110 0.001252 697169972.718129 1.332797 
rand_111 0.000730 2260455192.088623 1.631638 
rand_112 0.000573 2499538225.192135 1.464346 
rand_113 0.000570 1035210902.969531 1.374696 
rand_114 0.002155 431693008.708740 1.384614 
rand_115 0.001463 650127233.144602 1.442981 
rand_116 0.000992 679150892.434516 1.315260 
rand_117 0.000376 1887131222.425713 1.404291 
rand_118 0.001319 376928027.072887 1.239582 
rand_119 0.001349 1038073528.969569 1.740858 
rand_120 0.001241 1089000584.276638 1.550226 
rand_121 0.001046 916417815.501698 1.382426 
rand_122 0.000771 867975506.142067 1.232139 
rand_123 0.000402 1262238775.651181 0.941251 
rand_124 0.000625 2445959974.267560 1.345919 
rand_125 0.001339 768015928.833158 1.167459 
rand_126 0.001032 528072131.157729 1.131117 
rand_127 0.000473 479998859.786915 1.001935 
rand_128 0.000766 281077163.585898 0.818477 
rand_129 0.001122 635159590.290867 1.016786 
rand_130 0.001307 302736723.136268 0.901619 
rand_131 0.001174 380873819.869949 1.132714 
rand_132 0.001564 1317856940.318278 1.843864 
rand_133 0.000569 1144538610.889277 1.127793 
rand_134 0.002689 370030941.858246 1.237395 
rand_135 0.002502 239603914.808194 1.072488 
rand_136 0.000599 1731325823.044542 1.810282 
rand_137 0.001045 592058384.822179 1.129048 
rand_138 0.000789 1322941760.400898 1.373090 
rand_139 0.001447 947326325.360312 1.310273 
rand_140 0.000892 1202219194.009058 1.389541 
rand_141 0.001602 805806462.588804 1.422467 
rand_142 0.000735 1366810606.338249 1.343714 
rand_143 0.001445 210718655.068788 0.886986 
rand_144 0.001017 414452880.831086 1.032402 
rand_145 0.000704 448147609.028540 0.841456 
rand_146 0.000988 925188596.644347 1.229114 
rand_147 0.001558 743587950.188311 1.319280 
rand_148 0.000266 2482979864.665631 1.450786 
rand_149 0.000765 1863484937.010346 1.567246 
rand_150 0.002426 849873241.289523 1.673522 
rand_151 0.001045 916577530.146457 1.635727 
rand_152 0.001376 332451136.381227 0.993577 
rand_153 0.002678 377931714.643718 1.277972 
rand_154 0.001247 1281948068.699605 1.884460 
rand_155 0.003161 346182549.799465 1.382856 
rand_156 0.001030 608416136.541916 1.427011 
rand_157 0.000384 1507769526.487343 1.337635 
rand_158 0.001023 1496876173.646726 1.568232 
rand_159 0.000933 1215803798.395656 1.563419 
rand_160 0.000386 2257395012.616660 1.494930 
rand_161 0.000602 792766067.303451 0.975232 
rand_162 0.001184 306849516.846567 0.864510 
rand_163 0.001574 392256128.349919 1.589475 
rand_164 0.002091 536886809.261139 1.456132 
rand_165 0.001246 470607411.235844 1.306881 
rand_166 0.000481 907415228.540768 1.155736 
rand_167 0.000985 1741466121.580528 1.659649 
rand_168 0.001158 946436590.346787 1.198729 
rand_169 0.000477 1080907774.835924 1.232075 
rand_170 0.000938 1102463770.438457 1.590862 
rand_171 0.001589 520018031.380405 1.165852 
rand_172 0.000582 631667547.558050 0.840078 
rand_173 0.000479 1244827875.846700 1.295241 
rand_174 0.001550 810133596.527855 1.577751 
rand_175 0.001498 551185402.603048 1.133106 
rand_176 0.001758 556315082.661184 1.543806 
rand_177 0.001133 178382366.908726 0.986278 
rand_178 0.001186 205122191.361424 0.987643 
rand_179 0.000872 2033551043.945100 1.714639 
rand_180 0.000376 1134874191.513312 0.948858 
rand_181 0.000862 1299952898.648231 0.955907 
rand_182 0.000927 1708279500.101367 1.908720 
rand_183 0.000507 993332103.166622 0.942509 
rand_184 0.000771 1992095301.045776 1.487985 
rand_185 0.003042 405043364.079425 1.613655 
rand_186 0.000868 1354804304.813489 1.416339 
rand_187 0.001023 693078852.731995 0.967044 
rand_188 0.000703 982971020.965046 1.073380 
rand_189 0.001495 442999937.631783 1.174329 
rand_190 0.000389 1051683691.000676 1.189885 
rand_191 0.001543 991802713.203782 1.748923 
rand_192 0.001359 1078900693.134282 1.356468 
rand_193 0.000733 2295298658.280351 1.756074 
rand_194 0.000902 975716543.690800 1.445511 
rand_195 0.000938 760337156.211536 1.210606 
rand_196 0.000865 387379382.711915 0.761302 
rand_197 0.001015 1015705897.766641 1.218080 
rand_198 0.000669 811085255.169253 1.021855 
rand_199 0.001631 911662699.194191 1.278473 
rand_200 0.000545 1199289056.984121 1.315937 
rand_201 0.000278 995494506.124980 0.627923 
rand_202 0.000364 1314048380.960051 1.413774 
rand_203 0.001835 1221487313.195719 1.590548 
rand_204 0.001508 1136094090.592449 1.767022 
rand_205 0.000623 1312538318.766016 1.100636 
rand_206 0.000830 364298550.994078 1.082800 
rand_207 0.000500 1311889495.576119 1.476659 
rand_208 0.000344 1694332422.703735 1.232437 
rand_209 0.001454 783479272.326878 1.296471 
rand_210 0.001002 1531458876.226161 1.727808 
rand_211 0.001467 397975738.480859 1.188097 
rand_212 0.000655 908582726.982108 1.103198 
rand_213 0.000444 1604792835.088632 1.310956 
rand_214 0.000799 1536782308.672167 1.610809 
rand_215 0.000445 983842618.086087 1.010414 
rand_216 0.000456 3394350104.451408 1.880210 
rand_217 0.000748 585869155.934190 1.119580 
rand_218 0.002587 299205933.589545 1.431659 
rand_219 0.001406 802255415.989826 1.458276 
rand_220 0.001887 1257512817.761395 1.720236 
rand_221 0.000751 1334612717.284174 1.385487 
rand_222 0.002163 601054361.884977 1.660630 
rand_223 0.000614 872869730.962674 1.009395 
rand_224 0.001355 692329981.526938 1.387484 
rand_225 0.002240 181238570.662693 1.264590 
rand_226 0.000568 2074071727.031341 1.260131 
rand_227 0.001796 562740480.991265 1.351312 
rand_228 0.001216 792457664.033429 1.126737 
rand_229 0.001161 807813679.716685 1.485784 
rand_230 0.000798 287352672.695944 0.733586 
rand_231 0.001757 138883708.532192 0.713982 
rand_232 0.000324 1067836549.117285 1.086621 
rand_233 0.000614 926478416.436761 1.331758 
rand_234 0.001013 929761283.743187 1.321771 
rand_235 0.003271 335835410.232965 1.271341 
rand_236 0.001921 533722937.491586 1.523952 
rand_237 0.001555 322873886.206737 1.193202 
rand_238 0.000568 1749774142.753154 1.421055 
rand_239 0.000515 312128046.324078 0.779084 
rand_240 0.000955 292181444.326289 0.754836 
rand_241 0.000734 984269326.283471 1.215307 
rand_242 0.000708 1910793698.066190 1.703130 
rand_243 0.000677 1059598197.947407 1.236602 
rand_244 0.001135 1441307212.792849 1.467934 
rand_245 0.002245 532556768.926167 1.430306 
rand_246 0.000655 1177620949.244335 1.432584 
rand_247 0.000565 1346048308.034268 1.437251 
rand_248 0.001235 554971862.876839 1.234706 
rand_249 0.001183 603888271.629972 1.414415 
rand_250 0.001317 517307636.553464 1.173843 
rand_251 0.000325 972899231.732922 1.020574 
rand_252 0.001135 956357616.627593 1.556346 
rand_253 0.000620 834387595.077781 1.086821 
rand_254 0.000417 1762418242.047750 1.556183 
rand_255 0.002003 838300123.166628 1.714613 
rand_256 0.001699 1389810568.984199 1.674721 
rand_257 0.001102 1533429076.338139 1.490231 
rand_258 0.000627 1019813710.953083 0.905491 
rand_259 0.000391 2527061402.238913 1.329376 
rand_260 0.001445 613578836.277550 1.536134 
rand_261 0.000999 736566482.297323 1.203052 
rand_262 0.000537 1589915005.554547 1.511886 
rand_263 0.001188 806915154.000844 1.133768 
rand_264 0.000625 1393727946.873684 1.352002 
rand_265 0.001427 913862725.875689 1.574437 
rand_266 0.000586 1506852079.081739 1.373865 
rand_267 0.002723 602416953.483094 1.639654 
rand_268 0.000840 578610064.863886 1.237213 
rand_269 0.000637 1102933090.191154 1.283799 
rand_270 0.000599 553116295.748344 1.060479 
rand_271 0.001497 234740315.233758 1.110115 
rand_272 0.001581 1033205668.612139 1.907307 
rand_273 0.000324 2900878710.951334 1.392199 
rand_274 0.000479 3541414682.250726 1.355584 
rand_275 0.000465 2619117967.972207 1.241330 
rand_276 0.001257 351940094.427564 1.114127 
rand_277 0.001259 459756859.914692 1.059285 
rand_278 0.000938 251724451.787785 0.941094 
rand_279 0.002089 661886496.614649 1.551039 
rand_280 0.001003 718746870.143693 1.137815 
rand_281 0.001604 771488754.238498 1.661834 
rand_282 0.000678 205788747.292239 0.885299 
rand_283 0.000320 811338220.982477 0.958084 
rand_284 0.000233 2692949683.681624 1.123241 
rand_285 0.001433 434136605.050762 1.184082 
rand_286 0.002170 483056867.755275 1.460750 
rand_287 0.002156 158033579.692761 1.120180 
rand_288 0.001125 313959870.718663 1.298105 
rand_289 0.001299 811634644.061187 1.452790 
rand_290 0.000881 1564543020.827884 1.196721 
rand_291 0.000873 1126337501.205814 1.303328 
rand_292 0.001821 302841002.321259 1.102456 
rand_293 0.000701 542848964.425519 1.242907 
rand_294 0.000541 1054888373.177522 1.140915 
rand_295 0.000386 2593686105.079921 1.596071 
rand_296 0.001302 425371559.691862 1.031281 
rand_297 0.000627 828613139.834723 1.212873 
rand_298 0.001225 411272138.323993 1.347163 
rand_299 0.000630 367324412.014969 0.884135 
rand_300 0.000345 2228276889.991764 1.393960 
rand_301 0.000694 1401700990.911214 1.565648 
rand_302 0.000417 1681540160.894027 1.601324 
rand_303 0.000681 423742090.663089 0.884927 
rand_304 0.000916 1097778129.605968 1.302357 
rand_305 0.000994 1089214759.554475 1.315622 
rand_306 0.001320 569458801.115239 1.202648 
rand_307 0.000523 1401062788.283444 1.386931 
rand_308 0.000833 393065847.965186 0.994833 
rand_309 0.002145 1045617500.766760 1.629139 
rand_310 0.002687 269876716.914074 1.049876 
rand_311 0.000792 514017947.744566 0.791155 
rand_312 0.001675 1119569977.265678 1.715703 
rand_313 0.000953 869364259.527741 1.306284 
rand_314 0.002885 219745925.438885 1.119698 
rand_315 0.000924 271003081.537958 1.108564 
rand_316 0.001424 439901390.198968 0.933100 
rand_317 0.000913 990555684.609284 1.099935 
rand_318 0.000397 1252908437.945449 0.956339 
rand_319 0.000722 862851486.000980 1.547517 
rand_320 0.000844 1725087034.243051 1.535802 
rand_321 0.000618 1224492015.624965 1.273526 
rand_322 0.001006 944581639.122086 1.661003 
rand_323 0.000206 3443844548.068302 1.049390 
rand_324 0.000938 1450502636.573107 1.583604 
rand_325 0.001947 128688118.620981 0.760721 
rand_326 0.001045 1342618871.452713 1.626647 
