trial star/dMass vpl/dStopTime 
rand_000 0.193954 8103436634.397578 
rand_001 0.193051 8981796134.212040 
rand_002 0.197118 7587641402.965085 
rand_003 0.197535 6751567566.913087 
rand_004 0.199226 8230986484.630186 
rand_005 0.190546 7705581080.908663 
rand_006 0.197664 6508052660.739748 
rand_007 0.199162 9116226935.980326 
rand_008 0.195537 6960589622.794258 
rand_009 0.199053 7078416671.321638 
rand_010 0.194191 6850742965.741360 
rand_011 0.192334 8256857735.050590 
rand_012 0.196442 9967408889.891382 
rand_013 0.190240 6559493785.739315 
rand_014 0.196447 7905999644.556375 
rand_015 0.188088 6942599917.930435 
rand_016 0.191933 7229900622.888600 
rand_017 0.197900 7863886822.643904 
rand_018 0.195566 7177714637.829921 
rand_019 0.194202 7411047383.857962 
rand_020 0.193983 8106704857.157361 
rand_021 0.194214 6758024529.810727 
rand_022 0.189610 5913096350.137219 
rand_023 0.190564 7118174256.727751 
rand_024 0.190234 5640542232.069682 
rand_025 0.197541 8582309205.353150 
rand_026 0.197496 7190007302.644424 
rand_027 0.198802 6713477091.307517 
rand_028 0.191838 7034390785.253336 
rand_029 0.206058 8095687241.282948 
rand_030 0.195620 8085402124.753014 
rand_031 0.188631 6749168207.053287 
rand_032 0.191819 6977316882.764498 
rand_033 0.189318 6980737238.008245 
rand_034 0.196190 5598236484.074474 
rand_035 0.195702 6032890895.141535 
rand_036 0.188599 8189378547.976109 
rand_037 0.199315 8287325404.302088 
rand_038 0.197079 6382325603.093849 
rand_039 0.197601 8143349482.098797 
rand_040 0.189601 7835765562.467697 
rand_041 0.202040 7426192653.321646 
rand_042 0.189818 7734767873.711595 
rand_043 0.190326 7681923408.910116 
rand_044 0.187528 8081076298.823377 
rand_045 0.196696 6341123314.276297 
rand_046 0.192205 7958045603.332266 
rand_047 0.193929 6358494191.021089 
rand_048 0.200148 6921224914.315120 
rand_049 0.194127 7969184041.329699 
rand_050 0.191986 6691245731.649755 
rand_051 0.188525 6755981194.102624 
rand_052 0.190220 8652725219.479937 
rand_053 0.190693 6172810565.123426 
rand_054 0.187180 9069844987.891905 
rand_055 0.195911 8355921375.133986 
rand_056 0.189393 7097506097.921084 
rand_057 0.197389 6803798422.467840 
rand_058 0.198439 6410762311.276470 
rand_059 0.192466 8450806930.739187 
rand_060 0.198461 7705647017.261229 
rand_061 0.193516 6094302950.334878 
rand_062 0.196661 6578351118.819788 
rand_063 0.191031 5633566140.848874 
rand_064 0.201166 6966029792.102883 
rand_065 0.193275 7614417840.016093 
rand_066 0.197285 7378663224.308131 
rand_067 0.188596 6524166506.785860 
rand_068 0.189791 7472372689.000492 
rand_069 0.196094 7386003385.015860 
rand_070 0.193712 9232951091.092409 
rand_071 0.195066 7635079049.956388 
rand_072 0.200067 7659253000.610013 
rand_073 0.190245 7616560574.547183 
rand_074 0.197762 6750890636.641810 
rand_075 0.189070 7286184084.292755 
rand_076 0.199054 5831656891.455744 
rand_077 0.196629 8211517509.005096 
rand_078 0.185710 7039937857.213507 
rand_079 0.199430 11823551170.591715 
rand_080 0.200019 6930475732.138699 
rand_081 0.191289 7259406335.419507 
rand_082 0.189116 7184244179.834260 
rand_083 0.197193 7382231388.383409 
rand_084 0.194149 8822953444.273556 
rand_085 0.191385 8818844236.050243 
rand_086 0.197223 6419093879.042982 
rand_087 0.202286 6446341026.089064 
rand_088 0.189284 10946243044.223686 
rand_089 0.199107 6671792874.955226 
rand_090 0.190207 8036877999.072072 
rand_091 0.187036 8311894325.635286 
rand_092 0.199200 6564284352.910672 
rand_093 0.197253 6083468250.892050 
rand_094 0.196757 5753705425.416499 
rand_095 0.193062 7070092375.251505 
rand_096 0.191831 6752965993.299170 
rand_097 0.198963 7077072808.792749 
rand_098 0.197364 7760976170.445866 
rand_099 0.188289 7037524991.256612 
rand_100 0.192327 8570846594.349458 
rand_101 0.189434 9182005323.497847 
rand_102 0.198410 6287887663.319623 
rand_103 0.201343 7763414596.968242 
rand_104 0.189600 6948092073.273242 
rand_105 0.191018 7053869705.450002 
rand_106 0.202870 6882995704.078157 
rand_107 0.196670 6889855141.790270 
rand_108 0.188574 8050578580.930058 
rand_109 0.191307 7594631429.528919 
rand_110 0.187020 6932427441.722727 
rand_111 0.195608 7625698099.864348 
rand_112 0.195400 8522570881.818027 
rand_113 0.193219 8484466023.255912 
rand_114 0.193430 7213509674.462024 
rand_115 0.189746 7739187417.612560 
rand_116 0.196355 7290049779.313005 
rand_117 0.201609 7903031867.170238 
rand_118 0.193072 8439027293.699793 
rand_119 0.186995 5785302831.459411 
rand_120 0.198705 6531954500.712285 
rand_121 0.191716 7346810428.198427 
rand_122 0.190594 7122942564.297410 
rand_123 0.187736 5595471746.862967 
rand_124 0.186554 6751047666.541841 
rand_125 0.195882 7035630410.624275 
rand_126 0.194884 7861393175.098965 
rand_127 0.200578 6881441068.129544 
rand_128 0.202249 6117021549.165442 
rand_129 0.192761 7463625468.956573 
rand_130 0.191469 7585380778.056262 
rand_131 0.190285 7988101098.659006 
rand_132 0.187023 7480675615.837379 
rand_133 0.190008 8491649611.496362 
rand_134 0.197698 6899155486.946979 
rand_135 0.194106 6135763392.164511 
rand_136 0.191482 7395023879.050353 
rand_137 0.197601 8359472151.346954 
rand_138 0.194739 8115751700.022358 
rand_139 0.189891 8959667070.375603 
rand_140 0.197622 7558089751.925567 
rand_141 0.201181 7519196582.802074 
rand_142 0.195213 7091937296.230136 
rand_143 0.198953 6492000214.976759 
rand_144 0.195268 8036940007.825559 
rand_145 0.193489 7445287587.747810 
rand_146 0.202113 8440624304.804580 
rand_147 0.192281 6813607067.996382 
rand_148 0.203120 8006641133.240022 
rand_149 0.188734 9607583199.424559 
rand_150 0.198458 8082209760.014703 
rand_151 0.187180 6326832688.617819 
rand_152 0.204017 6756616570.799893 
rand_153 0.195615 7548030549.831686 
rand_154 0.193906 7083194580.629538 
rand_155 0.197835 7856147250.489491 
rand_156 0.194444 6632611967.589046 
rand_157 0.197986 7452673975.053154 
rand_158 0.195722 7744720849.907090 
rand_159 0.188855 6947509568.576938 
rand_160 0.194626 7974225622.238971 
rand_161 0.197670 7032866562.336312 
rand_162 0.193414 7775641685.210789 
rand_163 0.188503 5530892764.078071 
rand_164 0.197609 6781119589.296342 
rand_165 0.198039 6347865093.124263 
rand_166 0.193748 9391318287.458664 
rand_167 0.196159 11913207541.073193 
rand_168 0.186811 6942552730.628695 
rand_169 0.194521 6846629180.928960 
rand_170 0.188350 6525112545.197307 
rand_171 0.190780 8154872283.493477 
rand_172 0.194889 7207695848.591416 
rand_173 0.194575 6328851730.650909 
rand_174 0.193719 6591633823.856791 
rand_175 0.196570 6992651275.322186 
rand_176 0.192768 6919864673.236580 
rand_177 0.191451 7472502229.084808 
rand_178 0.199589 7765760989.881618 
rand_179 0.193189 7787291759.914077 
rand_180 0.200399 7231668439.112355 
rand_181 0.197705 8103541350.647205 
rand_182 0.200957 6841215312.293541 
rand_183 0.192011 7183107939.072472 
rand_184 0.186392 7669529732.723734 
rand_185 0.199087 5924454684.643442 
rand_186 0.194773 8265101271.264639 
rand_187 0.196305 7319634061.007675 
rand_188 0.189481 8293628822.370803 
rand_189 0.191117 5836212809.473138 
rand_190 0.196946 5466931871.926057 
rand_191 0.192182 6877912276.448745 
rand_192 0.196938 7910306172.841971 
rand_193 0.191103 10513850558.095572 
rand_194 0.194916 7797882366.256033 
rand_195 0.193258 7596575194.707381 
rand_196 0.182639 8519801869.742231 
rand_197 0.196976 7330218406.707481 
rand_198 0.188349 6790079519.493392 
rand_199 0.185483 7312999767.797926 
rand_200 0.201865 6713179139.249917 
rand_201 0.190986 5404639686.714276 
rand_202 0.199152 6779839507.047076 
rand_203 0.189422 7816160891.676026 
rand_204 0.197024 7574473717.844552 
rand_205 0.189037 7778395012.000741 
rand_206 0.195161 7288203465.636747 
rand_207 0.195538 6825648311.414929 
rand_208 0.195322 7762516712.773778 
rand_209 0.187397 7635006063.931248 
rand_210 0.197534 6759810163.318282 
rand_211 0.191523 4763845310.714623 
rand_212 0.194471 6969258705.551756 
rand_213 0.199360 8886034898.264996 
rand_214 0.194052 5798123350.985325 
rand_215 0.196256 7081273690.802787 
rand_216 0.195923 5786545942.721392 
rand_217 0.196739 6498118080.105257 
rand_218 0.190067 6945560798.600045 
rand_219 0.185500 8170029298.582080 
rand_220 0.190087 8154240342.412921 
rand_221 0.188952 7695033414.385781 
rand_222 0.192766 7109255161.465421 
rand_223 0.195644 6903455133.741483 
rand_224 0.204984 7114057066.951067 
rand_225 0.191906 6841009800.903710 
rand_226 0.199360 8263025207.453328 
rand_227 0.197298 7756997517.619708 
rand_228 0.196043 6639044769.096395 
rand_229 0.196600 6433436127.560191 
rand_230 0.193104 6936791512.664550 
rand_231 0.189466 8989251494.119390 
rand_232 0.188702 7373877542.145295 
rand_233 0.191915 6773396705.601263 
rand_234 0.193734 6766094296.486262 
rand_235 0.187998 6400725807.057055 
rand_236 0.190875 5869363929.073380 
rand_237 0.191201 7082260987.421422 
rand_238 0.196670 7625191386.457350 
rand_239 0.194990 6765640193.908425 
rand_240 0.187472 6614535549.490245 
rand_241 0.194109 6193296587.399698 
rand_242 0.190997 8406898527.200978 
rand_243 0.191230 5593089519.418613 
rand_244 0.193236 7599823137.227287 
rand_245 0.195178 7080015306.207938 
rand_246 0.196117 9419935221.264338 
rand_247 0.188405 6586455013.865653 
rand_248 0.198628 7056772514.365436 
rand_249 0.192498 6618667620.217029 
