star_name,prot_days,prot_err,prot_src,log_age_gyr,log_age_err,log_lx,log_lx_err,log_lx_lbol,log_lx_lbol_err,xray_src
Pleiades/NGC 2516,,,,-0.870,0.120,28.98,0.31,-2.92,0.35,N16
LP 263-64,2.06,0.02,M20,-0.774,0.019,28.70,0.10,-2.95,0.12,M22
1RXS J175537.7+485740,2.24,0.02,M20,-0.764,0.019,28.57,0.07,-3.08,0.08,M20
BD+20 2465 (AD Leo),2.24,0.02,"1R, M20",-0.764,0.019,28.81,0.05,-3.14,0.06,M22
2MASS J16243140+4549570,2.36,0.02,M20,-0.758,0.019,28.60,0.55,-2.86,0.66,M20
LP 302-37,2.60,0.03,M20,-0.744,0.019,29.26,0.08,-2.98,0.10,M20
1RXS J031028.8+285952,2.87,0.03,M20,-0.729,0.019,28.40,0.13,-3.38,0.16,M20
Ross 154 (GJ 729),2.87,0.03,M20,-0.729,0.019,27.91,0.20,-3.28,0.24,"C, R, X"
LP 195-34,3.39,0.03,M20,-0.700,0.019,28.99,0.70,-2.70,0.84,"M20, S"
1RXS J222653.9+354610,3.55,0.04,M20,-0.691,0.019,28.70,0.10,-2.98,0.12,M20
2MASS J16182491+4437110,4.07,0.04,M20,-0.662,0.019,28.44,0.08,-2.99,0.10,M20
NGC 6475,,,,-0.660,0.100,28.91,0.15,-3.10,0.17,N16
1RXS J174409.9+473444,4.45,0.04,M20,-0.640,0.019,28.46,0.08,-3.26,0.10,"M20, S"
UCAC4 610-011032,5.85,0.06,M20,-0.562,0.020,29.39,0.02,-2.79,0.02,M20
HAT 214-03527,6.55,0.07,M20,-0.523,0.020,28.50,0.13,-3.34,0.16,M20
2MASS J22170696+3627164,7.04,0.07,M20,-0.495,0.021,28.62,0.08,-3.11,0.10,M20
CW UMa,7.78,0.08,M20,-0.454,0.021,28.61,0.18,-3.04,0.22,M22
BL Lyn,7.85,0.08,"1T, M22",-0.450,0.021,28.88,0.25,-3.17,0.30,M22
2MASS J08445708+4640261,8.81,0.09,M20,-0.396,0.022,29.16,0.03,-2.63,0.04,M20
LP 197-37,9.36,0.09,M20,-0.365,0.022,28.35,0.07,-3.50,0.08,M20
G 176-13,10.75,0.11,M20,-0.287,0.023,29.17,0.07,-2.76,0.08,M20
M37,,,,-0.284,0.050,29.11,0.47,-3.14,0.40,N16
HAT 170-05945,10.86,0.11,M20,-0.281,0.023,28.83,0.13,-3.28,0.16,M20
HAT 136-02868,11.99,0.12,M20,-0.217,0.024,28.91,0.08,-3.02,0.10,"C, R"
HAT 216-04245,12.49,0.12,M20,-0.189,0.025,28.70,0.14,-3.14,0.17,"R, X"
1RXS J040731.6+340525,12.54,0.13,M20,-0.187,0.025,28.90,0.10,-3.10,0.12,M20
Hyades/Praesepe,,,,-0.155,0.069,28.41,0.49,-3.37,0.53,N16
PM J04310+3647,13.26,0.13,M20,-0.146,0.025,28.37,0.08,-3.45,0.10,M20
G 123-35,13.59,0.14,M20,-0.128,0.026,28.65,0.06,-3.02,0.07,M20
EPIC 210434976,2.55,0.03,M20,-0.097,0.031,28.81,0.46,-2.58,0.55,"F, S"
YZ CMi (GJ 285),2.78,0.03,M20,-0.092,0.031,28.50,0.01,-3.15,0.01,M20
EPIC 204957517,2.82,0.03,M20,-0.091,0.031,28.61,0.10,-2.84,0.12,M22
LP 331-57 A,14.54,0.15,M20,-0.074,0.027,28.53,0.05,-3.21,0.06,M20
UCAC4 617-130729,14.75,0.15,M20,-0.063,0.027,29.11,0.51,-3.40,0.61,M20
HAT 122-01032,4.38,0.04,M20,-0.052,0.031,28.91,0.01,-2.94,0.01,M20
UCAC3 242-88245,15.10,0.15,M20,-0.043,0.027,28.61,0.09,-3.22,0.11,M22
EPIC 206262336,9.71,0.10,M20,0.082,0.035,28.26,0.03,-2.95,0.04,M20
HG 8-1,17.57,0.18,M20,0.096,0.030,28.20,0.21,-3.61,0.25,M20
EPIC 201482319,11.68,0.12,M20,0.132,0.037,28.50,0.04,-3.19,0.05,M20
G 74-25,15.29,0.15,M20,0.222,0.041,28.47,0.05,-3.30,0.06,"R, X"
UCAC4 619-055248,19.84,0.20,M20,0.223,0.032,28.41,0.20,-3.39,0.24,F
Ross 868 (GJ 669 A),20.95,0.03,1R,0.285,0.031,28.51,0.29,-3.33,0.35,"C, R"
UCAC4 692-060564,21.52,0.22,M20,0.317,0.034,28.63,0.08,-3.38,0.10,M20
GJ 4334,23.54,0.24,N16,0.449,0.027,28.46,0.24,-3.01,0.29,"R, X"
CD-40 5404B (GJ 358),25.26,0.70,1S,0.472,0.031,28.05,0.15,-3.90,0.18,M20
LP 167-71,27.82,0.28,M20,0.483,0.032,28.88,0.03,-3.07,0.04,M20
2MASS J00240376+2626299,29.84,0.30,M20,0.491,0.034,27.87,0.13,-3.53,0.16,M20
1RXS J075235.5+410055,30.33,0.30,M20,0.493,0.034,28.33,0.13,-3.40,0.16,M20
1RXS J174158.2+475403,32.23,0.32,M20,0.500,0.036,28.35,0.12,-3.31,0.14,M20
GJ 674,33.29,0.33,AD17,0.505,0.037,27.52,0.17,-4.26,0.20,"R, S, X"
2MASS J06170531+8353354,40.75,0.10,1M,0.535,0.043,27.38,0.27,-4.29,0.32,"W, R"
2MASS J20125995+0112584,41.15,1.23,13,0.537,0.044,27.95,0.49,-3.29,0.59,"C, R"
GJ 752 A,46.60,0.20,1H,0.559,0.049,26.91,0.17,-5.12,0.21,R
GJ 588,51.70,0.10,1H,0.579,0.055,26.92,0.19,-4.67,0.24,R
2MASS J06575703+6219197,54.50,0.55,M20,0.591,0.057,27.83,0.07,-3.56,0.08,M20
2MASS J16492028+5101177,54.71,0.55,M20,0.591,0.058,26.89,0.43,-4.77,0.52,M20
GJ 163,56.04,2.47,1M,0.597,0.060,26.87,0.15,-5.09,0.18,Fo22
2MASS J05011802+2237015,70.67,0.71,M20,0.656,0.076,27.40,0.12,-3.59,0.14,M20
2MASS J19310458-0306186,70.92,0.71,M20,0.657,0.076,26.82,0.11,-3.94,0.13,M20
GJ 436,71.40,0.40,1R,0.659,0.076,26.85,0.46,-5.11,0.55,"C, R, X"
2MASS J13505181+3644168,72.18,0.72,M20,0.662,0.077,26.84,0.30,-4.62,0.36,M20
2MASS J17311725+8205198,79.22,0.79,M20,0.691,0.085,27.40,0.09,-3.70,0.11,M20
GJ 3253,81.55,0.82,M20,0.700,0.088,26.94,0.04,-4.16,0.05,M20
2MASS J03103891+2540535,82.83,0.83,M20,0.706,0.089,26.95,0.30,-4.45,0.36,M20
GJ 357,86.10,0.90,1H,0.719,0.093,26.94,0.25,-4.70,0.30,X
G 184-31,86.25,0.86,M20,0.719,0.093,26.72,0.09,-4.41,0.11,M20
EPIC 206019392 (G 876),87.95,0.61,1A,0.726,0.095,26.34,0.10,-5.38,0.12,"F, X"
GJ 551,88.98,0.01,1S,0.730,0.096,26.52,0.39,-4.27,0.47,W
2MASS J18551471-7115026,90.69,0.91,M20,0.737,0.098,26.63,0.30,-4.95,0.36,M20
2MASS J14211512-0107199,91.41,0.91,M20,0.740,0.099,26.27,0.30,-5.13,0.36,M20
2MASS J05015746-0656459,92.15,2.76,M20,0.743,0.101,27.32,0.08,-3.82,0.10,"C, R"
2MASS J19194119-5955194,92.69,0.93,M20,0.745,0.100,26.36,0.30,-5.05,0.36,M20
2MASS J23351050-0223214,100.40,1.00,M20,0.777,0.110,26.05,0.43,-4.71,0.52,M20
GJ 667 C,103.10,0.60,1H,0.788,0.112,26.69,0.28,-5.06,0.34,"C, R"
2MASS J20403364+1529572,104.60,1.05,M20,0.794,0.114,26.60,0.13,-4.62,0.16,M20
GJ 628,108.70,1.50,1R,0.810,0.119,26.40,0.55,-5.21,0.66,"C, R"
EPIC 201518346,112.83,1.13,M20,0.827,0.124,26.74,0.03,-4.42,0.04,M20
EPIC 205913009 (GJ 1265),116.40,1.16,M20,0.841,0.129,26.03,0.03,-5.11,0.04,M20
2MASS J11505787+4822395,117.50,1.18,M20,0.846,0.129,26.20,0.30,-4.92,0.36,M20
GJ 447,124.95,1.90,1R,0.876,0.139,26.71,0.36,-4.88,0.43,M22
2MASS J19204795-4533283,133.90,1.34,M20,0.912,0.149,26.51,0.30,-4.66,0.36,M20
GJ 699,149.50,0.60,"1AR,3",0.968,0.069,25.53,0.54,-5.57,0.65,"F20, R"
GJ 273,160.83,2.48,1R,0.968,0.069,26.36,0.32,-5.23,0.38,R
GJ 581,147.80,0.60,1AR,0.968,0.069,25.73,0.55,-5.94,0.66,"C, S"
GJ 191,153.20,3.70,1S,1.021,0.046,26.46,0.50,-5.23,0.60,"C, R, S, X"
