name,sptype,age_gyr,age_plus,age_minus,prot_days,prot_plus,prot_minus
Pleiades,M2.5--~3.5V,0.125,0.05,0.05,0.92,1.06,0.43
Pleiades,M4--~6.5V,0.125,0.05,0.05,0.38,0.15,0.1
NGC 2516,M2.5--~3.5V,0.15,0.02,0.02,0.68,0.77,0.3
NGC 2516,M4--6V,0.15,0.02,0.02,0.41,0.09,0.1
M34,M2.5--~3.5V,0.22,0.02,0.02,3.63,3.01,3.01
M37,M2.5--6V,0.52,0.06,0.06,10.84,4.55,8.57
Praesepe / Hyades,M2.5--~3.5V,0.73,0.12,0.12,12.81,1.42,8.83
Praesepe / Hyades,M4--~6.5V,0.73,0.12,0.12,23.8,3.3,3.3
NGC 752,M2.5--~3.5V,1.46,0.18,0.18,19.83,10.93,10.93
NGC 752,M4--6V,1.46,0.18,0.18,13.7,5.8,9.8
NSV 11919,M2.5--3V,1.97,0.98,0.35,21.07,0.05,0.05
Gaia DR3 7552,M3--3.5V,1.98,1.01,0.39,20.6,1.1,1.1
G 148-6,M3--3.5V,2.2,1.35,0.57,22.7,0.05,0.05
Ruprecht   147,M2.5--~4V,2.6,0.4,0.4,26.6,4.2,4.2
LP 783-2,M6.5V,3.12,1.73,0.56,25.45,0.06,0.06
G 130-6,M3V,3.6,1.84,1.73,49.5,0.1,0.1
LP 498-25,M2.5V,3.8,0.7,1.58,49.0,0.2,0.2
M67,M2--~3.5V,4.0,1.0,0.5,46.0,23.5,23.5
LHS 353,M4V,4.42,2.13,1.52,61.2,2.1,2.1
LP 906-23,M4V,4.86,4.41,1.57,78.3,8.9,8.9
40 Eri C,M4.5V,4.89,4.81,2.71,81.0,0.7,0.7
G 201-40,M3--3.5V,5.16,3.77,2.87,77.6,0.9,0.9
Proxima Cen,M5.5V,5.3,0.7,0.7,86.4,2.5,2.5
G 87-28,M4V,5.42,1.7,1.45,91.1,0.7,0.7
LSPM J1604+3909W,M4V,6.9,0.9,0.9,127.9,2.8,2.8
LHS 229,M4V,8.71,0.56,0.46,152.3,1.7,1.7
GJ 299,M4.5V,9.5,1.5,1.5,156.9,1.2,1.2
GJ 213,M4V,9.5,1.5,1.5,158.6,2.0,2.0
GJ 157.1,M4V,9.5,1.5,1.5,142.7,3.0,3.0
Barnard's Star   (GJ 699),M4V,9.5,1.5,1.5,149.1,0.6,0.6
GJ 273,M3.5V,9.5,1.5,1.5,157.3,5.7,5.7
GJ 581,M3V,9.5,1.5,1.5,148.1,0.9,0.9
LHS 1802,M5V,9.97,1.98,2.39,150.4,2.4,2.4
LHS 182,usdM0,11.5,1.0,1.5,161.4,5.2,5.2
GJ 1062,sdM2.5,11.5,1.0,1.5,159.5,2.1,3.4
LHS 3382,esdM2.5,11.5,1.0,1.5,169.2,9.3,3.7
LHS 216,esdM3,11.5,1.0,1.5,174.4,2.8,2.8
Kapteyn's Star   (GJ 191),sdM1.5,11.5,1.0,1.5,153.2,3.7,3.7
