name,log_age_gyr,log_age_err,log_lx_lbol,log_lx_lbol_err
Pleiades/NGC   2516,-0.87,0.12,-2.92,0.35
LP 263-64,-0.774,0.019,-2.95,0.12
1RXS J175537.7+485740,-0.764,0.019,-3.08,0.08
BD+20 2465 (AD Leo),-0.764,0.019,-3.14,0.06
2MASS J16243140+4549570,-0.758,0.019,-2.86,0.66
LP 302-37,-0.744,0.019,-2.98,0.1
1RXS J031028.8+285952,-0.729,0.019,-3.38,0.16
Ross 154 (GJ 729),-0.729,0.019,-3.28,0.24
LP 195-34,-0.7,0.019,-2.7,0.84
1RXS J222653.9+354610,-0.691,0.019,-2.98,0.12
2MASS J16182491+4437110,-0.662,0.019,-2.99,0.1
NGC 6475,-0.66,0.1,-3.1,0.17
1RXS J174409.9+473444,-0.64,0.019,-3.26,0.1
UCAC4 610-011032,-0.562,0.02,-2.79,0.02
HAT 214-03527,-0.523,0.02,-3.34,0.16
2MASS J22170696+3627164,-0.495,0.021,-3.11,0.1
CW UMa,-0.454,0.021,-3.04,0.22
BL Lyn,-0.45,0.021,-3.17,0.3
2MASS J08445708+4640261,-0.396,0.022,-2.63,0.04
LP 197-37,-0.365,0.022,-3.5,0.08
G 176-13,-0.287,0.023,-2.76,0.08
M37,-0.284,0.05,-3.14,0.4
HAT 170-05945,-0.281,0.023,-3.28,0.16
HAT 136-02868,-0.217,0.024,-3.02,0.1
HAT 216-04245,-0.189,0.025,-3.14,0.17
1RXS J040731.6+340525,-0.187,0.025,-3.1,0.12
Hyades/Praesepe,-0.155,0.069,-3.37,0.53
PM J04310+3647,-0.146,0.025,-3.45,0.1
G 123-35,-0.128,0.026,-3.02,0.07
EPIC 210434976,-0.097,0.031,-2.58,0.55
YZ CMi (GJ 285),-0.092,0.031,-3.15,0.01
EPIC 204957517,-0.091,0.031,-2.84,0.12
LP 331-57 A,-0.074,0.027,-3.21,0.06
UCAC4 617-130729,-0.063,0.027,-3.4,0.61
HAT 122-01032,-0.052,0.031,-2.94,0.01
UCAC3 242-88245,-0.043,0.027,-3.22,0.11
EPIC 206262336,0.082,0.035,-2.95,0.04
HG 8-1,0.096,0.03,-3.61,0.25
EPIC 201482319,0.132,0.037,-3.19,0.05
G 74-25,0.222,0.041,-3.3,0.06
UCAC4 619-055248,0.223,0.032,-3.39,0.24
Ross 868 (GJ 669 A),0.285,0.031,-3.33,0.35
UCAC4 692-060564,0.317,0.034,-3.38,0.1
GJ 4334,0.449,0.027,-3.01,0.29
CD-40 5404B (GJ 358),0.472,0.031,-3.9,0.18
LP 167-71,0.483,0.032,-3.07,0.04
2MASS J00240376+2626299,0.491,0.034,-3.53,0.16
1RXS J075235.5+410055,0.493,0.034,-3.4,0.16
1RXS J174158.2+475403,0.5,0.036,-3.31,0.14
GJ 674,0.505,0.037,-4.26,0.2
2MASS J06170531+8353354,0.535,0.043,-4.29,0.32
2MASS J20125995+0112584,0.537,0.044,-3.29,0.59
GJ 752 A,0.559,0.049,-5.12,0.21
GJ 588,0.579,0.055,-4.67,0.24
2MASS J06575703+6219197,0.591,0.057,-3.56,0.08
2MASS J16492028+5101177,0.591,0.058,-4.77,0.52
GJ 163,0.597,0.06,-5.09,0.18
2MASS J05011802+2237015,0.656,0.076,-3.59,0.14
2MASS J19310458-0306186,0.657,0.076,-3.94,0.13
GJ 436,0.659,0.076,-5.11,0.55
2MASS J13505181+3644168,0.662,0.077,-4.62,0.36
2MASS J17311725+8205198,0.691,0.085,-3.7,0.11
GJ 3253,0.7,0.088,-4.16,0.05
2MASS J03103891+2540535,0.706,0.089,-4.45,0.36
GJ 357,0.719,0.093,-4.7,0.3
G 184-31,0.719,0.093,-4.41,0.11
EPIC 206019392 (G 876),0.726,0.095,-5.38,0.12
GJ 551,0.73,0.096,-4.27,0.47
2MASS J18551471-7115026,0.737,0.098,-4.95,0.36
2MASS J14211512-0107199,0.74,0.099,-5.13,0.36
2MASS J05015746-0656459,0.743,0.101,-3.82,0.1
2MASS J19194119-5955194,0.745,0.1,-5.05,0.36
2MASS J23351050-0223214,0.777,0.11,-4.71,0.52
GJ 667 C,0.788,0.112,-5.06,0.34
2MASS J20403364+1529572,0.794,0.114,-4.62,0.16
GJ 628,0.81,0.119,-5.21,0.66
EPIC 201518346,0.827,0.124,-4.42,0.04
EPIC 205913009 (GJ 1265),0.841,0.129,-5.11,0.04
2MASS J11505787+4822395,0.846,0.129,-4.92,0.36
GJ 447,0.876,0.139,-4.88,0.43
2MASS J19204795-4533283,0.912,0.149,-4.66,0.36
GJ 699,0.968,0.069,-5.57,0.65
GJ 273,0.968,0.069,-5.23,0.38
GJ 581,0.968,0.069,-5.94,0.66
GJ 191,1.021,0.046,-5.23,0.6
