trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dAge star/dXUVEngleMidLateA star/dXUVEngleMidLateB star/dXUVEngleMidLateC star/dXUVEngleMidLateD star/dFlareSlopeA1 star/dFlareSlopeA2 star/dFlareSlopeA3 star/dFlareYIntB1 star/dFlareYIntB2 star/dFlareYIntB3 vpl/dStopTime 
rand_000 -1.666808 -1.141035 0.000575 -1.628886 0.202857 6500213.400728 -0.278188 -3.657118 -1.324957 0.372816 -0.148324 0.518282 -0.618281 4.692536 -16.489898 19.455426 7574997076.197316 
rand_001 -1.664088 -1.134625 0.005795 -1.628942 0.195032 4938807.877952 -0.037884 -2.874938 -1.755810 0.200349 -0.147294 0.518270 -0.619580 4.656843 -16.493533 19.503508 7159122127.921391 
rand_002 -1.674040 -1.128878 0.004461 -1.628922 0.193336 4665376.929441 -0.282055 -2.470609 -1.862493 0.275946 -0.148400 0.520203 -0.620092 4.694219 -16.556959 19.518994 7099277202.638083 
rand_003 -1.691487 -1.126499 0.003912 -1.628923 0.201168 6170098.283417 -0.188268 -2.767997 -1.261039 0.335758 -0.148618 0.519511 -0.618824 4.702001 -16.532961 19.475675 6894961266.343872 
rand_004 -1.683207 -1.158618 0.001347 -1.628921 0.199517 5563463.606278 -0.095063 -2.248693 -1.262981 0.199011 -0.149018 0.516157 -0.616572 4.715739 -16.418667 19.399000 6781555185.557034 
rand_005 -1.655794 -1.155180 0.008080 -1.628930 0.185781 5766364.758933 -0.310400 -2.750846 -1.894205 0.382675 -0.148414 0.516821 -0.618686 4.694142 -16.434179 19.466593 7398143454.648407 
rand_006 -1.638147 -1.093689 0.005383 -1.628923 0.198506 5213512.726028 -0.255423 -2.575797 -1.953872 0.322658 -0.147407 0.517754 -0.620031 4.660180 -16.470389 19.515329 6931818449.075499 
rand_007 -1.663504 -1.173369 0.007659 -1.628925 0.191631 5222027.698536 -0.148967 -2.624264 -1.445500 0.206233 -0.149540 0.514320 -0.613952 4.733710 -16.354302 19.307609 7288782800.412437 
rand_008 -1.679887 -1.109931 0.002763 -1.628865 0.198388 5675146.768963 -0.125631 -2.600255 -1.629419 0.310374 -0.147941 0.520126 -0.620271 4.679178 -16.550033 19.521122 6676910954.012510 
rand_009 -1.652978 -1.073755 0.001785 -1.628942 0.196048 5397137.918123 -0.121525 -2.496465 -2.421495 0.324753 -0.148094 0.517581 -0.617295 4.684211 -16.468697 19.424590 7474296645.571392 
rand_010 -1.625747 -1.131287 0.001529 -1.628935 0.188768 5900269.062871 -0.244513 -3.257904 -1.381706 0.299178 -0.149106 0.517688 -0.617647 4.718498 -16.468485 19.433296 7213236955.775209 
rand_011 -1.655315 -1.095865 0.000645 -1.628874 0.196324 6256445.810067 -0.152502 -2.526618 -1.390179 0.218773 -0.148372 0.512870 -0.614840 4.693004 -16.307439 19.341648 6887082934.163382 
rand_012 -1.600152 -1.100430 0.004705 -1.628931 0.190965 3371170.289213 -0.020601 -2.505733 -1.762956 0.294792 -0.148809 0.518499 -0.618071 4.708514 -16.495142 19.446950 7009517256.023210 
rand_013 -1.605361 -1.117369 0.008791 -1.628923 0.191235 3813414.004829 -0.250401 -1.494843 -1.867812 0.396926 -0.148743 0.517762 -0.617870 4.705891 -16.469502 19.440863 6909717349.922171 
rand_014 -1.672722 -1.133592 0.008344 -1.628948 0.198685 5648234.290918 -0.203420 -2.571448 -1.368716 0.248190 -0.147626 0.515702 -0.616213 4.668236 -16.406590 19.389726 6661900997.019338 
rand_015 -1.643137 -1.144015 0.008618 -1.628950 0.190622 4261467.084595 -0.202858 -2.860805 -1.011588 0.224559 -0.147590 0.522931 -0.622892 4.667300 -16.649026 19.613117 6784455849.859954 
rand_016 -1.682807 -1.108594 0.004391 -1.628922 0.196429 5106143.613541 -0.113317 -2.516738 -1.844821 0.311413 -0.148549 0.517008 -0.617423 4.699580 -16.447614 19.428301 7529704046.686079 
rand_017 -1.637682 -1.118057 0.010601 -1.628959 0.202748 3669824.503444 -0.133921 -2.685463 -2.218167 0.341596 -0.148097 0.516576 -0.618608 4.683786 -16.428175 19.465438 7272918339.127194 
rand_018 -1.647590 -1.137729 0.005285 -1.628955 0.194945 5806379.869497 -0.103180 -3.185492 -1.337027 0.200485 -0.147507 0.517235 -0.619576 4.663957 -16.453584 19.500340 6890334246.908721 
rand_019 -1.646093 -1.114517 0.003913 -1.628919 0.189188 2597573.980761 -0.103171 -2.770774 -1.920599 0.313712 -0.147958 0.514252 -0.616091 4.678949 -16.352181 19.382138 7674283247.442196 
rand_020 -1.660123 -1.140182 0.004605 -1.628906 0.199118 5654476.024581 -0.140442 -2.384117 -1.844733 0.321370 -0.146939 0.519833 -0.621881 4.644781 -16.542893 19.578936 7505012138.978219 
rand_021 -1.708435 -1.128771 0.002294 -1.628964 0.194967 5450921.932159 -0.239368 -2.902484 -1.702965 0.283453 -0.147732 0.515604 -0.617504 4.671249 -16.400012 19.431800 7369974330.016771 
rand_022 -1.656992 -1.144124 0.003182 -1.628954 0.199914 4436554.666803 -0.193638 -3.917176 -1.504548 0.274272 -0.148496 0.518357 -0.618671 4.697326 -16.489056 19.467388 7314385425.866786 
rand_023 -1.648453 -1.158770 0.003472 -1.628885 0.197371 4682310.446357 -0.117196 -3.151650 -2.295094 0.375213 -0.149104 0.512614 -0.613676 4.719003 -16.299394 19.300846 7387496175.640509 
rand_024 -1.695788 -1.111593 0.007862 -1.628963 0.185764 5480496.613318 -0.089828 -2.613781 -1.389087 0.103381 -0.148756 0.518722 -0.619686 4.705668 -16.502688 19.503802 6511143839.404868 
