trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dSatXUVFrac star/dSatXUVTime star/dXUVBeta star/dAge star/dFlareSlopeA1 star/dFlareSlopeA2 star/dFlareSlopeA3 star/dFlareYIntB1 star/dFlareYIntB2 star/dFlareYIntB3 vpl/dStopTime 
rand_000 -1.656468 -1.108537 0.003530 -1.628947 0.193954 0.001615 664375679.424664 1.270935 6240686.165143 -0.149461 0.512618 -0.611899 4.731236 -16.300700 19.241167 8103436634.397578 
rand_001 -1.673172 -1.169416 0.001075 -1.628910 0.193051 0.001663 749556574.188654 1.353347 2979617.729702 -0.148007 0.520305 -0.620761 4.681094 -16.557929 19.539788 8981796134.212040 
rand_002 -1.673800 -1.108663 0.009223 -1.628932 0.197118 0.002425 526336134.947985 1.417827 5352630.094843 -0.148416 0.514705 -0.615603 4.695411 -16.372194 19.367678 7587641402.965085 
rand_003 -1.634535 -1.132897 0.003564 -1.628931 0.197535 0.000531 1929038307.687069 1.474692 5336367.392767 -0.147706 0.517441 -0.618291 4.671027 -16.461421 19.456252 6751567566.913087 
rand_004 -1.632660 -1.136807 0.000486 -1.628971 0.199226 0.001176 1053758499.889366 1.395900 4142202.527361 -0.148204 0.517786 -0.619307 4.687103 -16.471830 19.491370 8230986484.630186 
rand_005 -1.669761 -1.113500 0.004572 -1.628929 0.190546 0.000418 1660048503.189996 1.456864 5960246.782465 -0.147392 0.518551 -0.621505 4.659535 -16.496426 19.564981 7705581080.908663 
rand_006 -1.669065 -1.110786 0.006081 -1.628962 0.197664 0.001532 428175478.743205 1.099620 3600964.703409 -0.147609 0.516020 -0.617794 4.667589 -16.413399 19.440496 6508052660.739748 
rand_007 -1.666602 -1.169773 0.004909 -1.628929 0.199162 0.000694 1329074681.685461 1.414284 6064535.847230 -0.148607 0.514988 -0.614411 4.702295 -16.382629 19.327319 9116226935.980326 
rand_008 -1.608992 -1.155796 0.013714 -1.628879 0.195537 0.000719 1207758929.973935 1.419485 2844314.240385 -0.148096 0.520608 -0.622067 4.683774 -16.564391 19.581861 6960589622.794258 
rand_009 -1.659610 -1.106016 0.008659 -1.628969 0.199053 0.003897 212709603.765264 1.093853 4095079.743182 -0.148541 0.513357 -0.614234 4.699504 -16.324817 19.320884 7078416671.321638 
rand_010 -1.623867 -1.120500 0.004121 -1.628935 0.194191 0.000604 2031418092.065183 1.881459 4860112.057322 -0.148051 0.519241 -0.620391 4.681848 -16.519717 19.526579 6850742965.741360 
rand_011 -1.643164 -1.126365 0.000338 -1.628948 0.192334 0.001063 1029814891.971550 1.456110 5217659.794465 -0.147689 0.515498 -0.617740 4.670002 -16.393536 19.437060 8256857735.050590 
rand_012 -1.662412 -1.149713 0.008304 -1.628959 0.196442 0.001042 701275628.957999 1.336242 3131916.251631 -0.147145 0.521916 -0.623048 4.651630 -16.612720 19.617979 9967408889.891382 
rand_013 -1.674890 -1.121223 0.005675 -1.628952 0.190240 0.000423 1513254854.541552 1.080269 6042909.395585 -0.147329 0.516659 -0.618854 4.657863 -16.435759 19.477267 6559493785.739315 
rand_014 -1.642079 -1.105621 0.001955 -1.628891 0.196447 0.001175 1312754886.676138 1.416219 5753560.025062 -0.147667 0.514790 -0.615930 4.669500 -16.373817 19.378417 7905999644.556375 
rand_015 -1.678081 -1.083641 0.000835 -1.628884 0.188088 0.001041 905503582.871171 1.525960 6903313.081424 -0.147303 0.519770 -0.621549 4.656917 -16.540293 19.567505 6942599917.930435 
