trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dAge star/dXUVEngleMidLateA star/dXUVEngleMidLateB star/dXUVEngleMidLateC star/dXUVEngleMidLateD vpl/dStopTime 
rand_000 -1.668806 -1.127299 0.013813 -1.628932 0.192243 6302425.517976 -0.278188 -3.381814 -1.324957 0.372816 6590151548.326312 
rand_001 -1.667547 -1.195379 0.009772 -1.628889 0.196265 5246956.478017 -0.037884 -2.793408 -1.755810 0.200349 7127473387.724565 
rand_002 -1.700943 -1.121828 0.004480 -1.628946 0.196000 5952006.796616 -0.282055 -3.076103 -1.862493 0.275946 7136734127.763909 
rand_003 -1.646657 -1.136744 0.007167 -1.628882 0.190925 6166786.194069 -0.188268 -3.100107 -1.261039 0.335758 7801833721.957959 
rand_004 -1.637690 -1.141304 0.004438 -1.628926 0.190709 4889829.445051 -0.095063 -3.267202 -1.262981 0.199011 7021068285.631773 
rand_005 -1.692457 -1.146221 0.005036 -1.628931 0.196101 3843364.444389 -0.310400 -3.145787 -1.894205 0.382675 7760365740.817616 
rand_006 -1.649967 -1.118657 0.001674 -1.628876 0.194489 3688646.382414 -0.255423 -2.864307 -1.953872 0.322658 6982922399.590832 
rand_007 -1.656904 -1.138895 0.000842 -1.628928 0.195232 3328765.688334 -0.148967 -3.038326 -1.445500 0.206233 6645080746.653192 
rand_008 -1.666364 -1.122494 0.000313 -1.628953 0.194081 4187900.876223 -0.125631 -2.750844 -1.629419 0.310374 7204139167.517652 
rand_009 -1.683197 -1.137072 0.001918 -1.628946 0.184833 6054082.897872 -0.121525 -2.852428 -2.421495 0.324753 6949046396.236608 
rand_010 -1.629471 -1.129489 0.007602 -1.628949 0.183776 5915129.908322 -0.244513 -2.868655 -1.381706 0.299178 6886846123.891215 
rand_011 -1.641794 -1.115233 0.006226 -1.628926 0.195624 4479230.302304 -0.152502 -2.406349 -1.390179 0.218773 6573956139.940924 
rand_012 -1.674537 -1.141306 0.005426 -1.628938 0.199891 6087603.834813 -0.020601 -2.704790 -1.762956 0.294792 7490363061.366670 
rand_013 -1.653262 -1.135942 0.002715 -1.628972 0.197099 5102156.216679 -0.250401 -2.610185 -1.867812 0.396926 6955564305.920357 
rand_014 -1.657855 -1.127315 0.004609 -1.628906 0.186801 5000585.286874 -0.203420 -3.326485 -1.368716 0.248190 6740254666.312772 
rand_015 -1.661772 -1.141415 0.010998 -1.628978 0.185956 6767878.589463 -0.202858 -2.985785 -1.011588 0.224559 7275349305.773143 
rand_016 -1.665324 -1.140793 0.011281 -1.628951 0.202743 5337181.318435 -0.113317 -2.669029 -1.844821 0.311413 7422110251.776203 
rand_017 -1.694216 -1.114577 0.003740 -1.628969 0.199511 5734957.786995 -0.133921 -2.795992 -2.218167 0.341596 6455704132.975954 
rand_018 -1.679858 -1.126215 0.002427 -1.628887 0.188564 5668260.398494 -0.103180 -2.973501 -1.337027 0.200485 6922907794.818083 
rand_019 -1.623539 -1.130616 0.002255 -1.628907 0.196835 6653217.588711 -0.103171 -2.844644 -1.920599 0.313712 7502654966.394677 
rand_020 -1.669501 -1.132201 0.008669 -1.628939 0.199993 5409427.170557 -0.140442 -3.111268 -1.844733 0.321370 7379707311.693527 
rand_021 -1.688946 -1.162652 0.001119 -1.628931 0.200108 4967104.341774 -0.239368 -2.645937 -1.702965 0.283453 6907151262.580521 
rand_022 -1.670379 -1.103062 0.012763 -1.628958 0.195218 4914910.433857 -0.193638 -3.574425 -1.504548 0.274272 6680232822.737466 
rand_023 -1.668351 -1.111264 0.002458 -1.628933 0.183254 3983354.809949 -0.117196 -2.965554 -2.295094 0.375213 6486185630.798290 
rand_024 -1.620519 -1.160760 0.001348 -1.628974 0.187832 5724722.677803 -0.089828 -2.294379 -1.389087 0.103381 6644933467.817860 
rand_025 -1.651881 -1.135417 0.005937 -1.628900 0.189346 4717501.982643 -0.216889 -2.733420 -1.959129 0.362604 8090306992.831998 
rand_026 -1.630055 -1.140457 0.007944 -1.628917 0.201439 5513570.896069 -0.163579 -3.404366 -1.512485 0.229587 8010567127.036957 
rand_027 -1.712341 -1.103769 0.000321 -1.628917 0.197595 5975722.806934 0.027438 -2.901468 -1.312573 0.080513 7880930561.096268 
rand_028 -1.645186 -1.134166 0.007093 -1.628907 0.193589 6114129.722752 -0.091506 -3.296560 -1.575712 0.270639 7087152873.209558 
rand_029 -1.646081 -1.115753 0.003690 -1.629021 0.195135 6542946.809497 -0.141822 -2.921793 -2.344463 0.381217 7138764903.421619 
rand_030 -1.655350 -1.101500 0.004133 -1.628929 0.191783 5425631.896280 -0.152304 -3.346701 -1.421525 0.242235 6741679929.611851 
rand_031 -1.659520 -1.141943 0.003232 -1.628937 0.201146 6400791.462110 -0.121428 -3.132249 -1.723549 0.231354 7990912657.335970 
rand_032 -1.600450 -1.106571 0.001394 -1.628965 0.197058 5093905.464155 -0.180743 -2.958167 -1.573428 0.195179 6625863596.014513 
rand_033 -1.641959 -1.152770 0.003915 -1.628916 0.187669 6446002.193261 -0.058107 -3.348763 -1.505690 0.236070 6839983917.841607 
rand_034 -1.672698 -1.142886 0.006125 -1.628900 0.198057 3183770.166873 -0.123434 -3.103608 -1.397103 0.335659 6676969775.129219 
rand_035 -1.706137 -1.105198 0.004031 -1.628955 0.184828 4728887.607660 -0.179927 -2.687832 -1.641457 0.361509 7359281244.761108 
rand_036 -1.651757 -1.123324 0.006983 -1.628982 0.187870 4806533.325667 -0.199226 -3.482502 -1.423603 0.399246 8527965012.584694 
rand_037 -1.665815 -1.142367 0.004728 -1.628927 0.191926 5941169.921207 -0.183882 -2.499456 -2.198504 0.347102 7157938337.971974 
rand_038 -1.620697 -1.112152 0.006199 -1.628930 0.197221 3545155.491020 -0.144609 -2.587575 -1.669721 0.270912 7585816627.421490 
rand_039 -1.675226 -1.116540 0.001987 -1.628949 0.188309 6947458.502120 -0.233269 -2.776404 -1.394635 0.304026 6735044446.485171 
rand_040 -1.652773 -1.147154 0.004695 -1.628913 0.191116 6284828.448453 -0.236085 -2.749841 -1.789098 0.249783 6891454512.518396 
rand_041 -1.612550 -1.146640 0.008638 -1.628909 0.189131 5966353.921577 -0.141965 -3.226590 -1.493632 0.248027 6971736341.083032 
rand_042 -1.654084 -1.106844 0.005558 -1.628951 0.194869 4686239.985754 -0.169947 -3.044082 -1.224080 0.316334 6937350080.246134 
rand_043 -1.647404 -1.135541 0.005169 -1.628953 0.198513 3139429.941609 -0.164985 -3.243537 -1.467893 0.246186 6730017036.985707 
rand_044 -1.642598 -1.096271 0.001309 -1.628919 0.192887 5710320.757617 -0.174851 -2.461692 -1.000202 0.081216 7315875294.819788 
rand_045 -1.656857 -1.150712 0.007030 -1.628952 0.197203 4969595.507124 -0.184654 -3.072414 -1.892722 0.339645 7081598443.161816 
rand_046 -1.664584 -1.111928 0.014317 -1.628913 0.193421 3328786.108727 -0.202418 -2.764405 -1.762582 0.333826 7325691419.578601 
